item_id,item_type,path_or_uri,version,sha256,creator_or_publisher,source_url,license_name,license_url,permitted_purpose,contains_patient_data,patient_ids_available,labels_available,platform_compatibility,provenance_evidence,review_owner,review_date,eligible_for_use,notes
oral-map-renderer-procedural-v1,procedural_asset_source,apps/mobile/src/components/OralObservationMap.tsx,procedural-v1,42c5e68380f7efdb21ab114ce7173bb10256d45d14b5dda8c56fdf2b5fc1d586,OpenAI Codex-assisted output for Stoma3D,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,competition app and public demonstration,no,no,canonical eight region identifiers,"Android and iOS JavaScript bundle export; physical-device render review pending",assets/mouth/manifest.json,Stoma3D release lead - final attestation pending,2026-08-26,yes,"Eligible for the stated oral-observation-map purpose after checksum audit; final human license/platform attestation pending; no external anatomy asset"
oral-map-manifest-procedural-v1,asset_manifest,assets/mouth/manifest.json,procedural-v1,c6a2f1fde11896a908b97fab27b65f7c32b0bcdff3deb4aae52cc23f26dbad33,OpenAI Codex-assisted output for Stoma3D,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,asset provenance and region mapping,no,no,canonical regionId and meshId mappings,"platform-neutral JSON; consumer validation pending",repository-local metadata and implementation hash,Stoma3D release lead - final attestation pending,2026-08-26,yes,"Eligible as repository metadata after checksum audit; binds current renderer checksum and declares no patient data"
bundled-demo-left-cheek-v1,test_fixture,packages/contracts/fixtures/bundled-demo.json,bundled-demo-left-cheek-v1,4021151554fd5de429467a4901fccd6d8ab0590ec7b32de609c5f68a34662ef3,OpenAI Codex-assisted output for Stoma3D,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,isolated backend and contract interface tests,no,no,left_buccal_mucosa,"FastAPI and contract tests only; verified absent from Android and iOS JavaScript bundles",fixture provenance field and decoded-image checksum,Stoma3D release lead - final attestation pending,2026-08-26,yes,"Eligible only for exact-hash test isolation; not imported or compiled into the installed mobile app; decoded PNG SHA-256 61b49da924681f2a8dc6aab6380d7f197483925677af3a4c0a9db63c55a10338"
opencv-yunet-face-detection-2023mar,model_artifact,services/inference/src/stoma3d_api/assets/face_detection_yunet_2023mar.onnx,2023mar,8f2383e4dd3cfbb4553ea8718107fc0423210dc964f9f4280604804ed2552fa4,OpenCV Zoo,https://github.com/opencv/opencv_zoo/tree/main/models/face_detection_yunet,MIT,https://github.com/opencv/opencv_zoo/blob/main/models/face_detection_yunet/LICENSE,backend face-presence privacy rejection only,no,no,face bounding boxes,"FastAPI OpenCV 4.x CPU runtime; Windows verification passed; Linux container verification pending",official model directory README and repository-local license copy,Stoma3D engineering release review,2026-07-27,yes,"Hash-pinned and fail-closed; never used for identity recognition; physical-device face and mouth-only false-positive validation remains pending"
stoma3d-app-icon-v1,application_visual_asset,apps/mobile/assets/stoma3d-icon.png,2026-07-27,279dc14ae6a284ee35758c4ce29d66c3a5b8b83ad686726a2c10688d21a83e91,OpenAI image generation directed by Stoma3D,repository-local,OpenAI generated output,https://openai.com/policies/terms-of-use/,iOS and Android application icon,no,no,none,"Expo iOS and Android icon generation; physical-device launcher review pending",docs/licenses-model-cards/APP_ICON_PROVENANCE.md,Stoma3D release lead - final attestation pending,2026-07-27,yes,"Original non-diagnostic mouth observation mark; no text, medical cross, patient anatomy, or third-party trademark"
stoma3d-adaptive-icon-foreground-v1,application_visual_asset,apps/mobile/assets/stoma3d-adaptive-foreground.png,2026-07-27,0ef561cfc7d2fbcc18be62de2403a709559b4bd995885d7b964b31614e5f4ce3,OpenAI image generation directed by Stoma3D,repository-local,OpenAI generated output,https://openai.com/policies/terms-of-use/,Android adaptive icon foreground and native launch screen,no,no,none,"Expo Android adaptive icon and iOS/Android splash generation; physical-device review pending",docs/licenses-model-cards/APP_ICON_PROVENANCE.md,Stoma3D release lead - final attestation pending,2026-07-27,yes,"Derived from the application icon with background removed; no identifying or patient content"
stoma3d-public-concept-a,design_reference,.impeccable/mocks/public-direction-a-editorial-lightbox.png,2026-08-04,db7842485de8316ddb643f6ad84abd176c1d3a28d50da6a624f1b3a8342fc048,OpenAI Codex-assisted output for Stoma3D,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,design review documentation,no,no,none,desktop design reference,repository-local HTML render,Stoma3D design review,2026-08-04,yes,"Concept comparison only; no patient image or medical result"
stoma3d-public-concept-b,design_reference,.impeccable/mocks/public-direction-b-guided-scan.png,2026-08-04,78e5ea2cc269a745a30a2394bf42ebd074f13a732d266dc31284c3d956042431,OpenAI Codex-assisted output for Stoma3D,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,selected design direction documentation,no,no,none,desktop design reference,repository-local HTML render,Stoma3D design review,2026-08-04,yes,"Selected clinical editorial direction; no patient image or medical result"
stoma3d-public-concept-c,design_reference,.impeccable/mocks/public-direction-c-observation-archive.png,2026-08-04,5267d20ba11091590d89186ad065b85fd703241cbdab89bd79a684f95aecb99b,OpenAI Codex-assisted output for Stoma3D,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,design review documentation,no,no,none,desktop design reference,repository-local HTML render,Stoma3D design review,2026-08-04,yes,"Concept comparison only; no patient image or medical result"
stoma3d-web-icon-v1,application_visual_asset,apps/web/src/app/icon.svg,2026-08-26,73c118539f03fa5e54047ecd9f19408d781b1a847be89fe94d18709301d98d90,OpenAI Codex-assisted output for Stoma3D,repository-local,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,public web application icon,no,no,none,modern browsers and Next.js,repository-local SVG source,Stoma3D design review,2026-08-26,yes,"Original geometric Stoma3D mark; no patient or identifying content"
